City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
136,nuku'alofa,40,TO,1686505020,73,-21.1333,-175.2,71.94,6.91
137,nikel,92,RU,1686505021,40,69.4128,30.222,69.98,8.72
138,ta`u,78,AS,1686505021,79,-14.2336,-169.5144,81.7,14.32
139,mataram,78,ID,1686505021,89,-8.5833,116.1167,76.01,3.36
140,dwarka,100,IN,1686505022,74,22.2394,68.9678,84.6,27.85
141,pembroke,99,CA,1686504791,63,45.8168,-77.1162,71.19,6.82
142,kodiak,75,US,1686505022,87,57.79,-152.4072,45.91,16.11
143,enumclaw,10,US,1686504799,80,47.2043,-121.9915,63.82,5.53
144,wattala,100,LK,1686505023,88,6.9779,79.8898,78.8,8.37
145,nuuk,100,GL,1686505023,87,64.1835,-51.7216,41.61,21.85
146,akrehamn,0,NO,1686505023,42,59.2667,5.1833,64.65,14.97
147,hawaiian paradise park,100,PH,1686505024,83,10.8241,123.0075,79.68,8.81
148,rio gallegos,17,GR,1686505024,70,38.3,21.7833,76.75,4.85
149,kot diji,0,IN,1686505024,27,28.3333,77.1676,91.29,7.34
150,port lincoln,45,CD,1686504999,56,-7.0349,29.7638,78.49,1.79
151,scarborough,61,GB,1686504668,76,54.2797,-0.4044,71.17,5.99
152,kaka,1,TM,1686505025,14,37.3482,59.6143,86.38,5.03
153,fort bragg,18,NL,1686505025,59,52.6517,6.3861,83.98,11.36
154,olonkinbyen,100,SJ,1686505025,95,70.9221,-8.7187,35.29,17.25
155,les anglais,79,ES,1686505026,92,42.8108,0.7105,64.27,3.53
156,santana,20,BR,1686505026,74,-0.0583,-51.1817,86.18,11.5
157,taulaga,66,AS,1686505026,78,-11.0553,-171.0883,83.46,18.07
158,santa cecilia,100,PH,1686505026,89,17.486,120.4348,77.2,6.29
159,tchintabaraden,37,NE,1686505027,34,15.8969,5.7985,94.37,12.57
160,acajutla,71,SV,1686505027,71,13.5928,-89.8275,86.67,8.23
161,puerto baquerizo moreno,0,ES,1686505028,60,36.5939,-6.233,79.61,17.27
162,shalya,51,RU,1686505028,70,57.2471,58.7298,40.24,3.15
163,nova sintra,56,BR,1686505028,46,-5.5279,-46.7049,89.02,4.14
